zone,model,feature,importance,importance_pct
CAC,XGBoost,REQ_LAST168H,0.28412553668022156,28.412550280982224
CAC,XGBoost,long_holiday,0.13375751674175262,13.375750079661596
CAC,XGBoost,REQ_LAST168H_roll_mean_3,0.12080235779285431,12.080234339209278
CAC,XGBoost,REQ_LAST336H,0.0886884331703186,8.868842259783476
CAC,XGBoost,is_post_holiday,0.061836760491132736,6.183675311961733
CAC,XGBoost,REQ_LAST672H,0.05750897899270058,5.7508972137096865
CAC,XGBoost,DewPoint_W,0.02688436023890972,2.688435703404462
CAC,XGBoost,REQUIREMENT_LAG_3D,0.016839439049363136,1.683943704194581
CAC,XGBoost,REQ_LAST504H,0.01561385951936245,1.5613857658045571
CAC,XGBoost,month,0.015046722255647182,1.5046720461938325
CAC,XGBoost,is_Sunday,0.014827501028776169,1.4827499261200516
CAC,XGBoost,quarter,0.011872968636453152,1.1872967221085164
CAC,XGBoost,is_pre_holiday,0.011068020947277546,1.106801962786679
CAC,XGBoost,is_holiday,0.009801154024899006,0.9801152856510537
CAC,XGBoost,IsDaylight_W,0.009480083361268044,0.9480082231154177
CAC,XGBoost,month_auto,0.009451368823647499,0.945136769695667
CAC,XGBoost,UVIndex_W,0.008848458528518677,0.8848457473700346
CAC,XGBoost,WetBulb_W,0.008287668228149414,0.828766724018249
CAC,XGBoost,day_auto,0.007125975098460913,0.7125974248978585
CAC,XGBoost,is_weekend,0.006917985156178474,0.6917984331490477
CAC,XGBoost,day,0.006916556507349014,0.6916555682831325
CAC,XGBoost,hour_auto,0.006701929960399866,0.6701929161467652
CAC,XGBoost,peakmonth,0.005669435486197472,0.5669434810348176
CAC,XGBoost,hour,0.00549113005399704,0.5491129399403405
CAC,XGBoost,RealFeel_W,0.00547407241538167,0.5474071762821464
CAC,XGBoost,day_of_week,0.005381968803703785,0.5381968162123184
CAC,XGBoost,is_tou,0.005048723891377449,0.5048723289522733
CAC,XGBoost,Temp_W,0.004921612795442343,0.49216122087404485
CAC,XGBoost,dayofweek_auto,0.004517512861639261,0.4517512323109827
CAC,XGBoost,year_auto,0.004500152543187141,0.4500152006727218
CAC,XGBoost,year,0.0036908516194671392,0.36908511794833926
CAC,XGBoost,REQ_LAST168H_roll_mean_6,0.0035629956983029842,0.3562995273560849
CAC,XGBoost,TIME_SLOT,0.003454202087596059,0.3454201675823131
CAC,XGBoost,DayOfWeek,0.0026486108545213938,0.2648610538782413
CAC,XGBoost,holiday,0.002468191320076585,0.24681910258452863
CAC,XGBoost,RelativeHumidity_W,0.002295579295605421,0.22955790219510766
CAC,XGBoost,PEAK_OFFPEAK_NUMERIC,0.002091999165713787,0.20919989163280828
CAC,XGBoost,is_Saturday,0.0019169265870004892,0.191692635848506
CAC,XGBoost,CloudCover_W,0.0013823368353769183,0.1382336670589546
CAC,XGBoost,REQ_LAST168H_pct_change_1,0.001162019558250904,0.11620194197273946
CAC,XGBoost,REQ_LAST168H_roll_std_6,0.0007661748677492142,0.07661747764140633
CAC,XGBoost,minute,0.0006386928143911064,0.06386927382529989
CAC,XGBoost,REQ_LAST168H_diff_1,0.0005131818470545113,0.05131817858784752
CAC,XGBoost,reg,0.0,0.0
CAC,LightGBM,day,1093.0,12.268492535638119
CAC,LightGBM,month,862.0,9.675608934785048
CAC,LightGBM,REQUIREMENT_LAG_3D,516.0,5.7918958356717924
CAC,LightGBM,year,508.0,5.702099001010215
CAC,LightGBM,DewPoint_W,469.0,5.264339432035021
CAC,LightGBM,hour,382.0,4.287798855090358
CAC,LightGBM,REQ_LAST336H,337.0,3.7826916601189806
CAC,LightGBM,Temp_W,336.0,3.771467055786284
CAC,LightGBM,REQ_LAST672H,325.0,3.6479964081266134
CAC,LightGBM,REQ_LAST504H,284.0,3.1877876304860253
CAC,LightGBM,REQ_LAST168H,281.0,3.1541138174879335
CAC,LightGBM,REQ_LAST168H_roll_mean_6,278.0,3.1204400044898417
CAC,LightGBM,UVIndex_W,271.0,3.041867774160961
CAC,LightGBM,day_of_week,257.0,2.884723313503199
CAC,LightGBM,TIME_SLOT,250.0,2.8061510831743184
CAC,LightGBM,long_holiday,236.0,2.6490066225165565
CAC,LightGBM,WetBulb_W,220.0,2.4694129531934
CAC,LightGBM,DayOfWeek,209.0,2.3459423055337303
CAC,LightGBM,RealFeel_W,200.0,2.2449208665394544
CAC,LightGBM,is_Sunday,148.0,1.6612414412391963
CAC,LightGBM,RelativeHumidity_W,140.0,1.5714446065776184
CAC,LightGBM,peakmonth,136.0,1.526546189246829
CAC,LightGBM,is_tou,128.0,1.436749354585251
CAC,LightGBM,day_auto,121.0,1.35817712425637
CAC,LightGBM,is_post_holiday,116.0,1.3020541025928836
CAC,LightGBM,CloudCover_W,103.0,1.1561342462678192
CAC,LightGBM,REQ_LAST168H_roll_mean_3,88.0,0.98776518127736
CAC,LightGBM,year_auto,81.0,0.9091929509484792
CAC,LightGBM,month_auto,75.0,0.8418453249522954
CAC,LightGBM,holiday,73.0,0.819396116286901
CAC,LightGBM,is_holiday,66.0,0.74082388595802
CAC,LightGBM,IsDaylight_W,64.0,0.7183746772926255
CAC,LightGBM,PEAK_OFFPEAK_NUMERIC,50.0,0.5612302166348636
CAC,LightGBM,is_Saturday,45.0,0.5051071949713772
CAC,LightGBM,quarter,34.0,0.38163654731170726
CAC,LightGBM,hour_auto,27.0,0.3030643169828263
CAC,LightGBM,REQ_LAST168H_roll_std_6,25.0,0.2806151083174318
CAC,LightGBM,dayofweek_auto,21.0,0.23571669098664275
CAC,LightGBM,REQ_LAST168H_pct_change_1,16.0,0.17959366932315637
CAC,LightGBM,REQ_LAST168H_diff_1,14.0,0.15714446065776183
CAC,LightGBM,is_pre_holiday,12.0,0.13469525199236726
CAC,LightGBM,is_weekend,10.0,0.11224604332697272
CAC,LightGBM,minute,2.0,0.022449208665394547
CAC,LightGBM,reg,0.0,0.0
MAC,XGBoost,REQ_LAST168H,0.2706853151321411,27.068534740034906
MAC,XGBoost,REQ_LAST168H_roll_mean_3,0.19196121394634247,19.196123682990514
MAC,XGBoost,is_post_holiday,0.07258744537830353,7.258745403140235
MAC,XGBoost,REQ_LAST336H,0.06643538922071457,6.643539714043106
MAC,XGBoost,REQ_LAST672H,0.057499662041664124,5.74996688961588
MAC,XGBoost,is_pre_holiday,0.05287519097328186,5.287519727649656
MAC,XGBoost,Temp_W,0.0322546511888504,3.2254655033904913
MAC,XGBoost,is_holiday,0.031509172171354294,3.1509175927540776
MAC,XGBoost,long_holiday,0.028073133900761604,2.807313724734035
MAC,XGBoost,WetBulb_W,0.021894382312893867,2.189438492290794
MAC,XGBoost,is_weekend,0.016661500558257103,1.6661502544462983
MAC,XGBoost,RealFeel_W,0.013433580286800861,1.3433581888208614
MAC,XGBoost,PEAK_OFFPEAK_NUMERIC,0.01157093234360218,1.157093372296497
MAC,XGBoost,is_Sunday,0.010576059110462666,1.057606037122731
MAC,XGBoost,IsDaylight_W,0.010379789397120476,1.0379790634487942
MAC,XGBoost,month,0.008669165894389153,0.8669166927834383
MAC,XGBoost,REQ_LAST504H,0.007877578027546406,0.7877578966626999
MAC,XGBoost,is_tou,0.006664587184786797,0.6664587979267594
MAC,XGBoost,quarter,0.006488424260169268,0.6488425033649806
MAC,XGBoost,hour,0.006476610898971558,0.6476611671043834
MAC,XGBoost,year_auto,0.0062819854356348515,0.6281986184505961
MAC,XGBoost,hour_auto,0.0058653210289776325,0.5865321728178469
MAC,XGBoost,REQUIREMENT_LAG_3D,0.005377572029829025,0.5377572670885643
MAC,XGBoost,dayofweek_auto,0.005100734066218138,0.5100734674273095
MAC,XGBoost,year,0.004961642902344465,0.4961643493818461
MAC,XGBoost,DewPoint_W,0.003929260652512312,0.39292611209167383
MAC,XGBoost,day_of_week,0.003831168171018362,0.3831168627729252
MAC,XGBoost,day_auto,0.0037521040067076683,0.37521044539933746
