zone,model,MAPE,MAE,RMSE,BIAS
CAC,XGBoost,415958780246.43774,4170.002244398329,4345.775513818731,4151.10122511122
CAC,LightGBM,401852812812.969,4022.4878785696046,4197.83145145303,4016.662448203605
CAC,LSTM,151732027426.67816,1518.2573486328124,1541.0095692595664,1516.3831999005013
CAC,Ensemble,319142044061.5749,3198.603556305748,3335.2433308718437,3186.2021030924957
MAC,XGBoost,371763579644.1255,3719.743008761936,3883.9226499233864,3718.021331108941
MAC,LightGBM,362255776179.64813,3624.511377730698,3784.855153231786,3621.8110972369823
MAC,LSTM,73075337075.29932,731.8077722858933,750.4506985142275,729.6989692198555
MAC,Ensemble,267086271761.8105,2672.82716589602,2791.1641002937768,2670.3709993558286
NAC,XGBoost,120661997731.56137,1207.370475938585,1260.5770536912335,1206.9060397677952
NAC,LightGBM,120906156060.01463,1209.987314158454,1262.9240894051873,1209.662583474323
NAC,LSTM,25140658793.920845,251.8721686251658,272.5065316682993,250.94100725281916
NAC,Ensemble,88233683880.06151,883.2928161247019,922.4500057791518,882.639021239659
NEC,XGBoost,137176362694.67282,1372.9258717854818,1433.1638290421272,1371.9676140679253
NEC,LightGBM,135214490567.43631,1353.830807132817,1412.8182828792706,1352.3430624500702
NEC,LSTM,69668388936.75523,697.0190262704525,720.9728214862502,696.3487524644383
NEC,Ensemble,112165149083.03159,1123.1181264921377,1173.7052598995313,1121.7532176253653
SAC,XGBoost,140095653279.6462,1401.4426277160646,1463.3343215089571,1400.987823062473
SAC,LightGBM,140017582114.3661,1400.671532959526,1462.462172004919,1400.1301672026889
SAC,LSTM,20932079008.49766,209.57381411198176,256.8339235257437,208.5227518657131
SAC,Ensemble,99774502146.57996,998.296499663326,1043.374477872644,997.6686609812291
ALL,XGBoost,237131274719.28873,2374.296845720079,2477.354673596887,2369.796806623671
ALL,LightGBM,232049363546.8868,2322.2977821102204,2424.1782297948384,2320.121871713534
ALL,LSTM,68109698248.23025,681.7060259852611,708.3547088908174,680.3789361406655
ALL,Ensemble,177280330186.6117,1775.2276328963867,1853.1874349433892,1771.7268004589157
